Country;Year;Month;Date;Total;Source
Philippines;2020;Feb;2020.Feb;439852;
Philippines;2020;Mar;2020.Mar;127721;
Philippines;2020;Apr;2020.Apr;927;
Philippines;2020;Mei;2020.May;357;
Philippines;2020;Jun;2020.Jun;1186;
Philippines;2020;Jul;2020.Jul;3380;
Philippines;2020;Agu;2020.Aug;5364;
Philippines;2020;Sep;2020.Sep;6410;
Philippines;2020;Okt;2020.Oct;8304;
Philippines;2020;Nov;2020.Nov;9069;
Philippines;2020;Des;2020.Dec;13753;
Singapore;2019;Jan;2019.Jan;1624593;https://www.singstat.gov.sg/find-data/search-by-theme/industry/tourism/latest-data
Singapore;2019;Feb;2019.Feb;1499051;
Singapore;2019;Mar;2019.Mar;1564664;
Singapore;2019;Apr;2019.Apr;1596724;
Singapore;2019;Mei;2019.May;1487791;
Singapore;2019;Jun;2019.Jun;1551847;
Singapore;2019;Jul;2019.Jul;1802593;
Singapore;2019;Agu;2019.Aug;1736102;
Singapore;2019;Sep;2019.Sep;1463543;
Singapore;2019;Okt;2019.Oct;1530479;
Singapore;2019;Nov;2019.Nov;1533668;
Singapore;2019;Des;2019.Dec;1724961;
Singapore;2020;Jan;2020.Jan;1688099;
Singapore;2020;Feb;2020.Feb;732965;
Singapore;2020;Mar;2020.Mar;240001;
Singapore;2020;Apr;2020.Apr;750;
Singapore;2020;Mei;2020.May;880;
Singapore;2020;Jun;2020.Jun;2171;
Singapore;2020;Jul;2020.Jul;6843;
Singapore;2020;Agu;2020.Aug;8912;
Singapore;2020;Sep;2020.Sep;9500;
Singapore;2020;Okt;2020.Oct;13397;
Singapore;2020;Nov;2020.Nov;14676;
Singapore;2020;Des;2020.Dec;24014;
Thailand;2019;Jan;2019.Jan;3718504;https://www.mots.go.th/mots_en/more_news_new.php?cid=330
Thailand;2019;Feb;2019.Feb;3603654;Ministry of Tourism & Sports Thailand
Thailand;2019;Mar;2019.Mar;3473088;
Thailand;2019;Apr;2019.Apr;3195006;
Thailand;2019;Mei;2019.May;2726808;
Thailand;2019;Jun;2019.Jun;3052287;
Thailand;2019;Jul;2019.Jul;3327198;
Thailand;2019;Agu;2019.Aug;3466456;
Thailand;2019;Sep;2019.Sep;2902731;
Thailand;2019;Okt;2019.Oct;3074099;
Thailand;2019;Nov;2019.Nov;3386366;
Thailand;2019;Des;2019.Dec;3947337;
Thailand;2020;Jan;2020.Jan;3810155;
Thailand;2020;Feb;2020.Feb;2061990;
Thailand;2020;Mar;2020.Mar;819429;
Thailand;2020;Apr;2020.Apr;0;
Thailand;2020;Mei;2020.May;0;
Thailand;2020;Jun;2020.Jun;0;
Thailand;2020;Jul;2020.Jul;0;
Thailand;2020;Agu;2020.Aug;0;
Thailand;2020;Sep;2020.Sep;0;
Thailand;2020;Okt;2020.Oct;1201;
Thailand;2020;Nov;2020.Nov;3065;
Thailand;2020;Des;2020.Dec;6556;
Vietnam;2019;Jan;2019.Jan;1374235;https://vietnamtourism.gov.vn/english/index.php/statistic/international?csrf_test_name=ce41f1c160c80baf28c0cd2398b00cfb&txtkey=&year=2019&period=t3
Vietnam;2019;Feb;2019.Feb;1588161;https://tradingeconomics.com/vietnam/tourist-arrivals
Vietnam;2019;Mar;2019.Mar;1410187;
Vietnam;2019;Apr;2019.Apr;1468766;
Vietnam;2019;Mei;2019.May;1326668;
Vietnam;2019;Jun;2019.Jun;1185445;
Vietnam;2019;Jul;2019.Jul;1315792;
Vietnam;2019;Agu;2019.Aug;1512447;
Vietnam;2019;Sep;2019.Sep;1561271;
Vietnam;2019;Okt;2019.Oct;1618337;
Vietnam;2019;Nov;2019.Nov;1809580;
Vietnam;2019;Des;2019.Dec;1710168;
Vietnam;2020;Jan;2020.Jan;1710168;
Vietnam;2020;Feb;2020.Feb;1242731;
Vietnam;2020;Mar;2020.Mar;449923;
Vietnam;2020;Apr;2020.Apr;26200;
Vietnam;2020;Mei;2020.May;22700;
Vietnam;2020;Jun;2020.Jun;8800;
Vietnam;2020;Jul;2020.Jul;13900;
Vietnam;2020;Agu;2020.Aug;16300;
Vietnam;2020;Sep;2020.Sep;13800;
Vietnam;2020;Okt;2020.Oct;14800;
Vietnam;2020;Nov;2020.Nov;17717;
Vietnam;2020;Des;2020.Dec;16276;
